442,Oldham,53.55,-2.116667
443,Bexleyheath,51.45,0.15
444,Ebbw Vale,51.783333,-3.2
445,Magherafelt,54.75426,-6.60941
446,Wigan,53.533333,-2.616667
447,Ballymena,54.86121,-6.27633
448,Halifax,53.716667,-1.85
449,Stockport,53.4,-2.15
450,Stockton-on-Tees,54.583333,-1.416667
451,Northampton,52.25,-0.883333
452,Grays,51.483333,0.333333
453,Ystrad Mynach,51.640278,-3.243333
454,Aberaeron,52.25,-4.25
455,Newtown Saint Boswells,55.583333,-2.683333
456,Enfield,51.666667,-0.066667
457,Stoke-on-Trent,53,-2.183333
458,Sutton,51.35,-0.2
459,Dudley,52.5,-2.083333
460,Wrecsam,53.05,-3
461,Aberdeen,57.133333,-2.1
462,Bolton,53.583333,-2.433333
463,Warrington,53.383333,-2.6
464,Salford,53.483333,-2.266667
465,Kensington,51.504699,-0.199827
466,Doncaster,53.533333,-1.116667
467,Swindon,51.516667,-1.783333
468,Pen-y-Bont ar Ogwr,51.505833,-3.577222
469,Catford,51.45,-0.016667
470,Coleraine,55.13489,-6.66873
471,Barnsley,53.55,-1.483333
472,Caerdydd,51.5,-3.2
473,Poole,50.716667,-2
474,Bracknell,51.416667,-0.75
475,Wakefield,53.7,-1.483333
476,Thornbury,51.608889,-2.520278
477,Wokingham,51.416667,-0.833333
478,Falkirk,56,-3.766667
479,Haddington,55.933333,-2.766667
480,Abertawe,51.633333,-3.966667
481,Beverley,53.833333,-0.416667
482,Croydon,51.383333,-0.1
483,South Shields,54.987778,-1.421389
484,Morden,51.398217,-0.19837
485,Lochgilphead,56.033333,-5.416667
486,Worcester,52.2,-2.2
487,Matlock,53.133333,-1.533333
488,Shrewsbury,52.716667,-2.733333
489,Truro,50.261667,-5.043333
490,Hereford,52.05,-2.716667
491,Newport,51.583333,-2.983333
492,Oakham,52.666667,-0.733333
493,Milton Keynes,52.033333,-0.7
494,Dagenham,51.55,0.166667
495,Conwy,53.283333,-3.833333
496,Dalkeith,55.866667,-3.066667
497,Enniskillen,54.3466,-7.64114
498,Hamilton,55.766667,-4.033333
499,Hendon,51.6,-0.216667
500,Hammersmith,51.5,-0.233333
501,Bromley,51.4,0.05
502,Telford,52.633333,-2.5
503,Harrow,51.583333,-0.316667
504,Ealing,51.488802,-0.30479
505,Slough,51.5,-0.583333
506,Wolverhampton,52.583333,-2.133333
507,Dumbarton,55.95,-4.566667
508,Bangor,54.66166,-5.66545
509,Wallsend,54.991389,-1.559722
510,Strabane,54.8224,-7.46844
511,City of Westminster,51.5,-0.116667
512,Lincoln,53.233333,-0.533333
513,Newport,50.7,-1.3
514,Lisburn,54.50991,-6.0404
515,Aylesbury,51.816667,-0.8
516,Wallasey,53.433333,-3.066667
517,Grimsby,53.533333,-0.05
518,Kilmarnock,55.633333,-4.533333
